issue_id,supplier_id,component,defect_category,detection_date,closure_date,closure_days,status,cost_impact_usd,detection_point
8D-0001,SUP006,Cooling pump,Contamination,2024-01-01,2024-03-03,62,Closed,4144,Production line
8D-0002,SUP005,Connector bracket,Surface finish defect,2024-01-01,2024-02-14,44,Closed,5316,Incoming inspection
8D-0003,SUP015,Fuel pump module,Surface finish defect,2024-01-03,2024-02-16,44,Closed,3498,Incoming inspection
8D-0004,SUP015,Engine fan,Dimensional out of tolerance,2024-01-04,2024-02-12,39,Closed,755,Incoming inspection
8D-0005,SUP009,Fan shroud,Packaging & labeling error,2024-01-06,2024-01-29,23,Closed,10128,Incoming inspection
8D-0006,SUP004,ECU housing,Wrong revision delivered,2024-01-15,2024-03-07,52,Closed,7025,Production line
8D-0007,SUP012,Cooling pump,Packaging & labeling error,2024-01-15,2024-02-16,32,Closed,4939,Incoming inspection
8D-0008,SUP002,Fan shroud,Missing/erroneous documentation,2024-01-19,2024-03-06,47,Closed,5529,Incoming inspection
8D-0009,SUP012,Fuel pump module,Functional test failure,2024-01-24,2024-02-04,11,Closed,3098,Customer 0-km
8D-0010,SUP004,Control lever,Material certification issue,2024-01-27,2024-03-23,56,Closed,1131,Incoming inspection
8D-0011,SUP013,Connector bracket,Surface finish defect,2024-01-27,2024-02-14,18,Closed,6653,Incoming inspection
8D-0012,SUP004,Fuel pump module,Dimensional out of tolerance,2024-01-28,2024-03-11,43,Closed,4220,Incoming inspection
8D-0013,SUP007,Cooling pump,Surface finish defect,2024-01-31,2024-03-17,46,Closed,4616,Production line
8D-0014,SUP005,Window lift actuator,Contamination,2024-02-04,2024-02-29,25,Closed,3527,Production line
8D-0015,SUP005,Electric seat actuator,Dimensional out of tolerance,2024-02-10,2024-03-12,31,Closed,2271,Incoming inspection
8D-0016,SUP002,Wiper arm,Wrong revision delivered,2024-02-12,2024-04-17,65,Closed,9563,Incoming inspection
8D-0017,SUP009,Wiper arm,Material certification issue,2024-03-02,2024-05-14,73,Closed,5821,Incoming inspection
8D-0018,SUP001,Fan shroud,Missing/erroneous documentation,2024-03-03,2024-03-10,7,Closed,8199,Incoming inspection
8D-0019,SUP006,Control lever,Material certification issue,2024-03-06,2024-04-22,47,Closed,7539,Warranty
8D-0020,SUP011,Engine fan,Contamination,2024-03-07,2024-03-20,13,Closed,5765,Customer 0-km
8D-0021,SUP008,Fan shroud,Contamination,2024-03-10,2024-04-26,47,Closed,2967,Production line
8D-0022,SUP015,Fan shroud,Material certification issue,2024-03-12,2024-03-28,16,Closed,3416,Customer 0-km
8D-0023,SUP009,Connector bracket,Wrong revision delivered,2024-03-22,2024-06-02,72,Closed,3815,Production line
8D-0024,SUP007,Window lift actuator,Dimensional out of tolerance,2024-04-05,2024-05-08,33,Closed,4746,Incoming inspection
8D-0025,SUP010,Control lever,Surface finish defect,2024-04-06,2024-05-18,42,Closed,2577,Production line
8D-0026,SUP007,Control lever,Functional test failure,2024-04-10,2024-05-06,26,Closed,617,Incoming inspection
8D-0027,SUP015,Window lift actuator,Surface finish defect,2024-04-19,2024-06-05,47,Closed,12613,Incoming inspection
8D-0028,SUP012,Connector bracket,Surface finish defect,2024-04-23,2024-05-24,31,Closed,5503,Customer 0-km
8D-0029,SUP015,ECU housing,Contamination,2024-04-30,2024-06-11,42,Closed,17328,Incoming inspection
8D-0030,SUP011,Control lever,Dimensional out of tolerance,2024-05-03,2024-05-10,7,Closed,8650,Incoming inspection
8D-0031,SUP008,Window lift actuator,Dimensional out of tolerance,2024-05-03,2024-06-02,30,Closed,1672,Incoming inspection
8D-0032,SUP006,Connector bracket,Dimensional out of tolerance,2024-05-10,2024-06-17,38,Closed,5636,Production line
8D-0033,SUP011,Electric seat actuator,Dimensional out of tolerance,2024-05-15,2024-06-09,25,Closed,1864,Incoming inspection
8D-0034,SUP001,Fuel pump module,Missing/erroneous documentation,2024-05-16,2024-06-10,25,Closed,3799,Production line
8D-0035,SUP009,Control lever,Dimensional out of tolerance,2024-05-16,2024-06-30,45,Closed,5771,Production line
